OriginIP,domain,httpResponseCode,contentLength,facebookUrl,ArchiveLink
,amplifyschoolchoice.com,,,,
,citizen-watchdog.com,,,,
,exposefranklin.com,,,,
,exposefranklincenter.com,,,,
,exposegreentech.com,,,,
,exposewatchdog.com,,,,
,exposewatchdogwire.com,,,,
,franklincenterexposed.com,,,,
,franklinexposed.com,,,,
,franklinfacts.com,,,,
,freespeechwatchdog.com,,,,http://web.archive.org/web/20180806053952/http://freespeechwatchdog.com/
,greentechtruth.com,,,,
,hireporter.com,,,,http://web.archive.org/web/20080316011612/http://hireporter.com:80/
,iam1a.com,,,,http://web.archive.org/web/20140227164514/http://iam1a.com:80/
,illinoiswatchdogradio.com,,,,http://web.archive.org/web/20180806114317/http://illinoiswatchdogradio.com/
,ilwatchdogradio.com,,,,http://web.archive.org/web/20180806091954/http://ilwatchdogradio.com/
,indianawatchdog.com,,,,http://web.archive.org/web/20141217112425/http://indianawatchdog.com/
,insidefranklin.com,,,,
,iowahotline.net,,,,http://web.archive.org/web/20180104141223/http://iowahotline.net/
,kansasreporter.net,,,,http://web.archive.org/web/20130607084002/http://kansasreporter.net/
,louisianastatehousenews.com,,,,
,naoij.com,,,,http://web.archive.org/web/20161003153208/http://naoij.com/
,nationalonlinejournalists.com,,,,http://web.archive.org/web/20161003233442/http://nationalonlinejournalists.com/
,onlineinvestigativejornalists.com,,,,http://web.archive.org/web/20160111021832/http://onlineinvestigativejornalists.com/
,pennsylvaniaindependent.info,,,,
,pennsylvaniaindependent.net,,,,http://web.archive.org/web/20141218035909/http://pennsylvaniaindependent.net/
,pennwatchdog.com,,,,
,religionwatchdog.com,,,,http://web.archive.org/web/20180805183025/http://religionwatchdog.com/
,soroswatchdog.com,,,,http://web.archive.org/web/20180805205639/http://soroswatchdog.com/
,standwithfranklin.com,,,,
,standwithfranklincenter.com,,,,
,statefeedak.com,,,,http://web.archive.org/web/20180805140304/http://statefeedak.com/
,statefeedal.com,,,,http://web.archive.org/web/20180807163322/http://statefeedal.com/
,statefeedar.com,,,,http://web.archive.org/web/20180807012951/http://statefeedar.com/
,statefeedaz.com,,,,http://web.archive.org/web/20180804225923/http://statefeedaz.com/
,statefeedco.com,,,,http://web.archive.org/web/20180807111314/http://statefeedco.com/
,statefeedct.com,,,,http://web.archive.org/web/20180807150837/http://statefeedct.com/
,statefeedde.com,,,,http://web.archive.org/web/20180807231143/http://statefeedde.com/
,statefeedga.com,,,,
,statefeedhi.com,,,,http://web.archive.org/web/20180805071411/http://statefeedhi.com/
,statefeedia.com,,,,http://web.archive.org/web/20180808083245/http://statefeedia.com/
,statefeedid.com,,,,http://web.archive.org/web/20180808091814/http://statefeedid.com/
,statefeedin.com,,,,http://web.archive.org/web/20180805154522/http://statefeedin.com/
,statefeedks.com,,,,http://web.archive.org/web/20180805101924/http://statefeedks.com/
,statefeedky.com,,,,
,statefeedla.com,,,,http://web.archive.org/web/20180805224014/http://statefeedla.com/
,statefeedmd.com,,,,http://web.archive.org/web/20180807041012/http://statefeedmd.com/
,statefeedmi.com,,,,http://web.archive.org/web/20180808084301/http://statefeedmi.com/
,statefeedmn.com,,,,http://web.archive.org/web/20180806145957/http://statefeedmn.com/
,statefeedmo.com,,,,http://web.archive.org/web/20180804214729/http://statefeedmo.com/
,statefeedms.com,,,,http://web.archive.org/web/20180808010843/http://statefeedms.com/
,statefeedmt.com,,,,http://web.archive.org/web/20180806064752/http://statefeedmt.com/
,statefeednc.com,,,,http://web.archive.org/web/20180809024139/http://statefeednc.com/
,statefeednd.com,,,,http://web.archive.org/web/20180805040750/http://statefeednd.com/
,statefeedne.com,,,,
,statefeednh.com,,,,http://web.archive.org/web/20180804235633/http://statefeednh.com/
,statefeednj.com,,,,
,statefeednm.com,,,,http://web.archive.org/web/20180804164440/http://statefeednm.com/
,statefeednv.com,,,,http://web.archive.org/web/20180805221256/http://statefeednv.com/
,statefeedny.com,,,,http://web.archive.org/web/20180805150504/http://statefeedny.com/
,statefeedoh.com,,,,http://web.archive.org/web/20180808082214/http://statefeedoh.com/
,statefeedok.com,,,,http://web.archive.org/web/20180808050611/http://statefeedok.com/
,statefeedor.com,,,,http://web.archive.org/web/20180804145809/http://statefeedor.com/
,statefeedpa.com,,,,http://web.archive.org/web/20180807153539/http://statefeedpa.com/
,statefeedri.com,,,,http://web.archive.org/web/20180805224030/http://statefeedri.com/
,statefeedsc.com,,,,http://web.archive.org/web/20180807032430/http://statefeedsc.com/
,statefeedsd.com,,,,http://web.archive.org/web/20180808112249/http://statefeedsd.com/
,statefeedtn.com,,,,http://web.archive.org/web/20180805180542/http://statefeedtn.com/
,statefeedtx.com,,,,http://web.archive.org/web/20180806111639/http://statefeedtx.com/
,statefeedut.com,,,,http://web.archive.org/web/20180805094714/http://statefeedut.com/
,statefeedva.com,,,,http://web.archive.org/web/20180804174818/http://statefeedva.com/
,statefeedvt.com,,,,http://web.archive.org/web/20180808001819/http://statefeedvt.com/
,statefeedwa.com,,,,http://web.archive.org/web/20180808155016/http://statefeedwa.com/
,statefeedwi.com,,,,http://web.archive.org/web/20180805153432/http://statefeedwi.com/
,statefeedwv.com,,,,http://web.archive.org/web/20180807042337/http://statefeedwv.com/
,statefeedwy.com,,,,http://web.archive.org/web/20180806062116/http://statefeedwy.com/
,statehousenewstv.com,,,,http://web.archive.org/web/20160110113749/http://statehousenewstv.com/
,statenewsnetwork.net,,,,
,terryscarcompany.com,,,,
,virginiastatehousenews.com,,,,http://web.archive.org/web/20180808033424/http://virginiastatehousenews.com/
,watchdog-radio.com,,,,
,watchdog-radio.net,,,,
,watchdogcali.com,,,,http://web.archive.org/web/20180805185401/http://watchdogcali.com/
,watchdogcanada.com,,,,http://web.archive.org/web/20180805061831/http://watchdogcanada.com/
,watchdogcitizen-news.com,,,,http://web.archive.org/web/20180808073635/http://watchdogcitizen-news.com/
,watchdogcitizen.com,,,,http://web.archive.org/web/20180805111703/http://watchdogcitizen.com/
,watchdogcitizennews.com,,,,http://web.archive.org/web/20180806134342/http://watchdogcitizennews.com/
,watchdogcivilliberty.com,,,,http://web.archive.org/web/20180808050020/http://watchdogcivilliberty.com/
,watchdogcommunity.com,,,,
,watchdogcourts.com,,,,http://web.archive.org/web/20180807095754/http://watchdogcourts.com/
,watchdogeconomicfreedom.com,,,,http://web.archive.org/web/20180805212749/http://watchdogeconomicfreedom.com/
,watchdogexposed.com,,,,
,watchdogfactcheck.com,,,,
,watchdogfacts.com,,,,
,watchdogfacts.net,,,,
,watchdogfreedom.com,,,,http://web.archive.org/web/20180806173904/http://watchdogfreedom.com/
,watchdogleaks.com,,,,
,watchdogleaks.info,,,,
,watchdogleaks.net,,,,
,watchdogmn.com,,,,
,watchdognewjersey.com,,,,http://web.archive.org/web/20140106102811/http://watchdognewjersey.com/
,watchdognewmexico.com,,,,http://web.archive.org/web/20180104135623/http://watchdognewmexico.com/
,watchdognj.com,,,,http://web.archive.org/web/20180829153751/https://watchdognj.com/
,watchdogorg.com,,,,http://web.archive.org/web/20180807190359/http://watchdogorg.com/
,watchdogorgva.com,,,,
,watchdogquiz.com,,,,http://web.archive.org/web/20160112230505/http://watchdogquiz.com/
,watchdogradio.net,,,,
,watchdogwireexposed.com,,,,http://web.archive.org/web/20180203095455/http://watchdogwireexposed.com/
13.230.113.212,iowapolitics.com,404,-1,,
13.230.113.212,iowapolitics.com,404,-1,,
154.213.248.172,thetarheelreport.com,,,,
18.211.9.206,paindy.com,,,,
184.168.131.241,franklincenterhq.com,301,-1,,
184.168.131.241,tcsnewsletters.com,404,78769,,
192.104.183.109,thecentersquare.com,429,17,https://www.facebook.com/centersquarenews/,
199.59.242.153,watchdoglegal.com,,,,
23.20.239.12,moraloil.com,,,,
23.20.239.12,pennsylvaniaindependent.com,,,,
23.236.62.147,statehousemedia.com,404,-1,,
3.20.85.141,watchdogcalifornia.com,,,,
35.208.27.225,paindependent.com,404,-1,,
54.208.77.124,universitywatchdog.com,,,,
69.164.223.52,illinoisstatehousenews.com,,,,
69.164.223.52,statenewsnetwork.com,,,,