domain,2020-03-08,2020-03-08,delta,2020-03-09,2020-03-09,,,,
lakecountytimes.com,404,169,204,200,56666,,,,
lansingsun.com,200,74452,0,200,76835,,,,
lickingtoday.com,404,169,204,200,55664,,,,
limareporter.com,404,169,204,200,55287,,,,
livingstontoday.com,200,75618,0,200,75514,,,,
loraintimes.com,404,169,204,200,-1,,,,
macombtoday.com,200,77351,0,200,77886,,,,
madisonreporter.com,404,169,204,200,-1,,,,
mansfieldtimes.com,404,169,204,200,55624,,,,
marionmorrowtimes.com,404,169,204,200,55589,,,,
medinatoday.com,404,169,204,200,55947,,,,
micapitolnews.com,200,76262,0,200,76988,,,,
mkecitywire.com,404,169,204,200,-1,,,,
mkenorth.com,404,169,204,200,46712,,,,
mkesouth.com,404,169,204,200,47533,,,,
monroereview.com,200,72408,0,200,73139,,,,
munciereporter.com,404,169,204,200,-1,,,,
muskegonsun.com,200,76182,0,200,75891,,,,
ncindiananews.com,404,169,204,200,48477,,,,
ncwisconsinnews.com,404,169,204,200,-1,,,,
nefranklinnews.com,404,169,204,200,54834,,,,
neindiananews.com,404,169,204,200,-1,,,,
neohiotimes.com,404,169,204,200,55525,,,,
newisconsinnews.com,404,169,204,200,47772,,,,
northcincynews.com,404,169,204,200,55519,,,,
northcolumbusnews.com,404,169,204,200,55151,,,,
northindynews.com,404,169,204,200,47807,,,,
northkentnews.com,200,73494,0,200,74321,,,,
northmichigannews.com,200,75700,0,200,75092,,,,
northsummitnews.com,404,169,204,200,54491,,,,
northwoodsreporter.com,404,169,204,200,-1,,,,
novitimes.com,200,75185,0,200,77101,,,,
nwfranklinnews.com,404,169,204,200,54487,,,,
nwohiotimes.com,404,169,204,200,55437,,,,
nwwaynenews.com,200,73545,0,200,73219,,,,
ozaukeetimes.com,404,169,204,200,45552,,,,
pontiactimes.com,200,71185,0,200,-1,,,,
portagetimes.com,404,169,204,200,55068,,,,
racinesun.com,404,169,204,200,-1,,,,
scwisconsinnews.com,404,169,204,200,-1,,,,
segrandrapids.com,200,71541,0,200,73353,,,,
seindiananews.com,404,169,204,200,-1,,,,
seoaklandnews.com,200,75099,0,200,76457,,,,
seohiotimes.com,404,169,204,200,55730,,,,
shelbyreview.com,200,76106,0,200,75483,,,,
shiawasseetimes.com,200,75744,0,200,77071,,,,
southbendtimes.com,404,169,204,200,-1,,,,
southcolumbusnews.com,404,169,204,200,-1,,,,
southcuyahoganews.com,404,169,204,200,55227,,,,
southernindianatoday.com,404,169,204,200,-1,,,,
southfranklinnews.com,404,169,204,200,-1,,,,
southindynews.com,404,169,204,200,46668,,,,
southkentnews.com,200,74875,0,200,76981,,,,
southmichigannews.com,200,75024,0,200,76356,,,,
southohionews.com,404,169,204,200,55532,,,,
southsummitnews.com,404,169,204,200,54880,,,,
sowisconsintimes.com,404,169,204,200,-1,,,,
stclairtoday.com,200,75715,0,200,76513,,,,
stjoebentonharbor.com,200,72577,0,200,74348,,,,
sturgiscoldwaternews.com,200,72915,0,200,74893,,,,
swindiananews.com,404,169,204,200,-1,,,,
swwisconsinnews.com,404,169,204,200,-1,,,,
theregionnews.com,404,169,204,200,-1,,,,
thesconi.com,404,169,204,200,43150,,,,
thumbreporter.com,200,76582,0,200,74590,,,,
toledoreporter.com,404,169,204,200,55456,,,,
tricitysun.com,200,75634,0,200,76298,,,,
triconews.com,404,169,204,200,55560,,,,
trumballnews.com,404,169,204,200,55699,,,,
tuscarawasnews.com,404,169,204,200,55719,,,,
upgazette.com,200,76101,0,200,78516,,,,
vacationlandtimes.com,404,169,204,200,55020,,,,
warrenclintonnews.com,404,169,204,200,55328,,,,
warrensun.com,200,74341,0,200,76399,,,,
washingtoncotimes.com,404,169,204,200,46171,,,,
waterfordtoday.com,200,77672,0,200,78643,,,,
waukeshatimes.com,404,169,204,200,46289,,,,
waynecountytoday.com,404,169,204,200,55173,,,,
wcindiananews.com,404,169,204,200,-1,,,,
wcmichigannews.com,200,74881,0,200,75319,,,,
wcwisconsinnews.com,404,169,204,200,49991,,,,
westclevelandnews.com,404,169,204,200,55470,,,,
westernwaynetoday.com,200,-1,0,200,75387,,,,
westhamiltonnews.com,404,169,204,200,54856,,,,
westindynews.com,404,169,204,200,-1,,,,
westlucasnews.com,404,169,204,200,54466,,,,
weststarknews.com,404,169,204,200,-1,,,,
whitewatertimes.com,404,169,204,200,-1,,,,
youngstowntimes.com,404,169,204,200,55581,,,,
abqtimes.com,200,63464,0,200,63750,,,,
adamscountytimes.com,404,169,204,200,-1,,,,
adareporter.com,404,169,204,200,-1,,,,
beehivestatenews.com,404,169,204,200,35611,,,,
bigskytimes.com,200,-1,0,200,61702,,,,
boisecitywire.com,404,169,204,200,-1,,,,
boulderleader.com,404,169,204,200,-1,,,,
cdareporter.com,404,169,204,200,45149,,,,
centennialstatenews.com,404,169,204,200,47046,,,,
centralcoloradonews.com,404,169,204,200,-1,,,,
centralidahotimes.com,404,169,204,200,49064,,,,
centralmontanatimes.com,200,58707,0,200,-1,,,,
centralutahnews.com,404,169,204,200,-1,,,,
centralwynews.com,404,169,204,200,-1,,,,
coconinonews.com,200,66727,0,200,66784,,,,
davistimes.com,404,169,204,200,-1,,,,
denvercitywire.com,404,169,204,200,-1,,,,
eaglevalleytimes.com,404,169,204,200,41403,,,,
eastarapahoenews.com,404,169,204,200,-1,,,,
eastarizonanews.com,200,66460,0,200,-1,,,,
eastidahotimes.com,404,169,204,200,43621,,,,
eastnewmexiconews.com,200,-1,0,200,64764,,,,
eastslcnews.com,404,169,204,200,40876,,,,
enchantmentstatenews.com,200,-1,0,200,62693,,,,
equalitystatenews.com,404,169,204,200,-1,,,,
gemstatewire.com,404,169,204,200,-1,,,,
glaciercountrynews.com,200,59330,0,200,63113,,,,
grandcanyontimes.com,200,-1,0,200,68844,,,,
grandjunctiontimes.com,404,169,204,200,50045,,,,
larimernews.com,404,169,204,200,-1,,,,
lasvegasrecord.com,404,169,204,200,-1,,,,
magicvalleytimes.com,404,169,204,200,-1,,,,
mohavetoday.com,200,66157,0,200,65974,,,,
necoloradonews.com,404,169,204,200,-1,,,,
nemontananews.com,200,65454,0,200,60398,,,,
nenewmexiconews.com,200,64873,0,200,65738,,,,
nevalleytimes.com,200,66066,0,200,66924,,,,
newyomingnews.com,404,169,204,200,-1,,,,
northidahotimes.com,404,169,204,200,-1,,,,
northjeffconews.com,404,169,204,200,-1,,,,
northnevadanews.com,404,169,204,200,-1,,,,
northpimanews.com,200,68183,0,200,68827,,,,
northutahnews.com,404,169,204,200,40989,,,,
northvegastimes.com,404,169,204,200,-1,,,,
nwclarknews.com,404,169,204,200,-1,,,,
nwmontananews.com,200,-1,0,200,-1,,,,
nwnewmexiconews.com,200,64258,0,200,64479,,,,
nwvalleytimes.com,200,67036,0,200,68263,,,,
nwwyomingnews.com,404,169,204,200,-1,,,,
phxreporter.com,200,67593,0,200,69090,,,,
pinaltoday.com,200,-1,0,200,67592,,,,
pocatellotimes.com,404,169,204,200,-1,,,,
renoreporter.com,404,169,204,200,40540,,,,
sandovalnews.com,200,67016,0,200,-1,,,,
santafestandard.com,200,66083,0,200,-1,,,,
searizonanews.com,200,65863,0,200,65463,,,,
secoloradonews.com,404,169,204,200,-1,,,,
sedenvernews.com,404,169,204,200,45110,,,,
semontananews.com,200,61997,0,200,60582,,,,
sevalleytimes.com,200,-1,0,200,67219,,,,
sevegasnews.com,404,169,204,200,-1,,,,
sewyomingnews.com,404,169,204,200,-1,,,,
silverstatetimes.com,404,169,204,200,-1,,,,
slctimes.com,404,169,204,200,-1,,,,
southabqnews.com,200,65783,0,200,65746,,,,
southjeffconews.com,404,169,204,200,47358,,,,
southpimanews.com,200,65597,0,200,66765,,,,
southutahnews.com,404,169,204,200,41603,,,,
springstimes.com,404,169,204,200,-1,,,,
swarizonanews.com,200,66904,0,200,66919,,,,
swcoloradonews.com,404,169,204,200,-1,,,,
swmontanatimes.com,200,-1,0,200,61708,,,,
swnewmexiconews.com,200,65244,0,200,-1,,,,
swvalleytimes.com,200,66576,0,200,67040,,,,
swvegasnews.com,404,169,204,200,40407,,,,
swwyomingnews.com,404,169,204,200,39437,,,,
treasurevalleytimes.com,404,169,204,200,-1,,,,
tucsonstandard.com,200,67128,0,200,68699,,,,
utahvalleytimes.com,404,169,204,200,41010,,,,
washoenews.com,404,169,204,200,-1,,,,
wastachnews.com,404,169,204,200,40993,,,,
wcnewmexiconews.com,200,65504,0,200,66266,,,,
webertimes.com,404,169,204,200,-1,,,,
westarapahoenews.com,404,169,204,200,-1,,,,
westslcnews.com,404,169,204,200,-1,,,,
yavapainews.com,200,-1,0,200,68770,,,,
yellowstonetimes.com,200,58955,0,200,58793,,,,
amestoday.com,200,67773,0,200,67584,,,,
anokatimes.com,200,-1,0,200,67003,,,,
bransontimes.com,404,169,0,404,169,,,,
capemonews.com,404,169,0,404,169,,,,
cedarrapidstoday.com,200,-1,0,200,66381,,,,
centraliowatimes.com,200,67629,0,200,-1,,,,
centralmissourinews.com,404,169,0,404,169,,,,
centralndnews.com,404,169,0,404,169,,,,
centralsdnews.com,404,169,0,404,169,,,,
centralstlnews.com,404,169,0,404,169,,,,
clayreporter.com,404,169,0,404,169,,,,
columbiamonews.com,404,169,0,404,169,,,,
cornhuskerstatenews.com,404,169,0,404,169,,,,
dakotatimes.com,200,-1,0,200,62555,,,,
desmoinessun.com,200,67250,0,200,66398,,,,
dubuquetimes.com,200,63659,0,200,62817,,,,
eastokcnews.com,404,169,0,404,169,,,,
easttwincities.com,200,67589,0,200,67666,,,,
eastwichitatimes.com,404,169,0,404,169,,,,
eciowanews.com,200,-1,0,200,-1,,,,
eckansasnews.com,404,169,0,404,169,,,,
ecnebraskanews.com,404,169,0,404,169,,,,
ecoklahomanews.com,404,169,0,404,169,,,,
fargostandard.com,404,169,0,404,169,,,,
hawkeyereporter.com,200,-1,0,200,68252,,,,
hutchtoday.com,404,169,0,404,169,,,,
iowacitytoday.com,200,66580,0,200,65861,,,,
jeffcitynews.com,404,169,0,404,169,,,,
jeffcotimes.com,404,169,0,404,169,,,,
jocotoday.com,404,169,0,404,169,,,,
kcreporter.com,404,169,0,404,169,,,,
lawrencereporter.com,404,169,0,404,169,,,,
minneapolisreview.com,200,-1,0,200,66242,,,,
minnesotastatewire.com,200,-1,0,200,67710,,,,
nckansasnews.com,404,169,0,404,169,,,,
ncminnesotanews.com,200,66496,0,200,65730,,,,
ncoklahomanews.com,404,169,0,404,169,,,,
ndnorthnews.com,404,169,0,404,169,,,,
neiowanews.com,200,66945,0,200,65967,,,,
nekansascitynews.com,404,169,0,404,169,,,,
nekansasnews.com,404,169,0,404,169,,,,
nemissourinews.com,404,169,0,404,169,,,,
nenebraskanews.com,404,169,0,404,169,,,,
nenorthdakotanews.com,404,169,0,404,169,,,,
neoklahomanews.com,404,169,0,404,169,,,,
nepanhandlenews.com,404,169,0,404,169,,,,
nesdnews.com,404,169,0,404,169,,,,
northdsmnews.com,200,-1,0,200,69075,,,,
northhennepinnews.com,200,-1,0,200,68556,,,,
northiowareporter.com,200,-1,0,200,-1,,,,
northokcnews.com,404,169,0,404,169,,,,
northomahatimes.com,404,169,0,404,169,,,,
northramseynews.com,200,64408,0,200,64678,,,,
northstlnews.com,404,169,0,404,169,,,,
northtulsatoday.com,404,169,0,404,169,,,,
northwichitanews.com,404,169,0,404,169,,,,
nwiowanews.com,200,67510,0,200,66179,,,,
nwkansasnews.com,404,169,0,404,169,,,,
nwminnesotanews.com,200,67846,0,200,-1,,,,
nwmissouritimes.com,404,169,0,404,169,,,,
nwoklahomanews.com,404,169,0,404,169,,,,
nwtwincities.com,200,-1,0,200,68402,,,,
okcstandard.com,404,169,0,404,169,,,,
omaharecord.com,404,169,0,404,169,,,,
peacegardennews.com,404,169,0,404,169,,,,
plattenews.com,404,169,0,404,169,,,,
riverbendtimes.com,200,-1,0,200,68816,,,,
rushmorestatenews.com,404,169,0,404,169,,,,
sandhillstoday.com,404,169,0,404,169,,,,
sckansasnews.com,404,169,0,404,169,,,,
scminnesotanews.com,200,-1,0,200,65122,,,,
scmissourinews.com,404,169,0,404,169,,,,
scnebraskanews.com,404,169,0,404,169,,,,
scoklahomanews.com,404,169,0,404,169,,,,
seiowanews.com,200,62393,0,200,61753,,,,
sekansascitynews.com,404,169,0,404,169,,,,
sekansasnews.com,404,169,0,404,169,,,,
seminnesotanews.com,200,68461,0,200,67508,,,,
semissourinews.com,404,169,0,404,169,,,,
senebraskanews.com,404,169,0,404,169,,,,
seoklahomanews.com,404,169,0,404,169,,,,
sesdnews.com,404,169,0,404,169,,,,
setwincities.com,200,-1,0,200,66141,,,,
showmestatetimes.com,404,169,0,404,169,,,,
siouxcitytimes.com,200,67833,0,200,67556,,,,
siouxempiretoday.com,404,169,0,404,169,,,,
soonerstatenews.com,404,169,0,404,169,,,,
southdsmnews.com,200,-1,0,200,67523,,,,
southhennepinnews.com,200,-1,0,200,67681,,,,
southiowanews.com,200,-1,0,200,67922,,,,
southkcnews.com,404,169,0,404,169,,,,
southokcnews.com,404,169,0,404,169,,,,
southomahatimes.com,404,169,0,404,169,,,,
southstlnews.com,404,169,0,404,169,,,,
southtulsatoday.com,404,169,0,404,169,,,,
southwichitanews.com,404,169,0,404,169,,,,
springfieldstandard.com,404,169,0,404,169,,,,
stcharlestimes.com,404,169,0,404,169,,,,
stcloudsun.com,200,67879,0,200,67054,,,,
stlouisreporter.com,404,169,0,404,169,,,,
stlwestnews.com,404,169,0,404,169,,,,
stpaulreporter.com,200,67453,0,200,66889,,,,
sunflowerstatenews.com,404,169,0,404,169,,,,
swiowatimes.com,200,-1,0,200,-1,,,,
swkansasnews.com,404,169,0,404,169,,,,
swminnesotatoday.com,200,-1,0,200,62874,,,,
swmissourinews.com,404,169,0,404,169,,,,
swoklahomanews.com,404,169,0,404,169,,,,
topekasun.com,404,169,0,404,169,,,,
tulsastandard.com,404,169,0,404,169,,,,
waterlootimes.com,200,68304,0,200,67933,,,,
wciowanews.com,200,68267,0,200,67288,,,,
wcminnesotanews.com,200,67421,0,200,-1,,,,
wcmissourinews.com,404,169,0,404,169,,,,
westdsmnews.com,200,67222,0,200,66897,,,,
westernndnews.com,404,169,0,404,169,,,,
westernsdnews.com,404,169,0,404,169,,,,
weststlnews.com,404,169,0,404,169,,,,
westtwincities.com,200,62829,0,200,62803,,,,
wichitastandard.com,404,169,0,404,169,,,,
wyandottetimes.com,404,169,0,404,169,,,,
akbusinessdaily.com,200,53005,0,200,53004,,,,
albusinessdaily.com,200,79245,0,200,78244,,,,
arbusinessdaily.com,200,80049,0,200,79158,,,,
azbusinessdaily.com,200,79747,0,200,79791,,,,
cabusinessdaily.com,200,76385,0,200,77291,,,,
cobusinessdaily.com,200,75037,0,200,75267,,,,
ctbusinessdaily.com,200,77077,0,200,76902,,,,
dcbusinessdaily.com,200,77185,0,200,76964,,,,
debusinessdaily.com,200,78223,0,200,78635,,,,
flbusinessdaily.com,200,73937,0,200,74939,,,,
gabusinessdaily.com,200,77883,0,200,77569,,,,
hibusinessdaily.com,200,73228,0,200,72376,,,,
iabusinessdaily.com,200,77693,0,200,77867,,,,
idbusinessdaily.com,200,71960,0,200,72250,,,,
ilbusinessdaily.com,200,77808,0,200,78732,,,,
indianabusinessdaily.com,200,70827,0,200,71295,,,,
keystonebusinessnews.com,200,74550,0,200,75054,,,,
ksbusinessdaily.com,200,76375,0,200,76713,,,,
kybusinessdaily.com,200,71099,0,200,71258,,,,
labusinessdaily.com,200,79654,0,200,78840,,,,
mabusinessdaily.com,200,76822,0,200,76860,,,,
mainebusinessdaily.com,200,71250,0,200,70755,,,,
mdbusinessdaily.com,200,76476,0,200,76107,,,,
mibusinessdaily.com,200,78289,0,200,79698,,,,
mnbusinessdaily.com,200,78783,0,200,78507,,,,
mobusinessdaily.com,200,78335,0,200,78336,,,,
msbusinessdaily.com,200,78672,0,200,78772,,,,
mtbusinessdaily.com,200,73026,0,200,72551,,,,
ncbusinessdaily.com,200,79695,0,200,78114,,,,
ndbusinessdaily.com,200,73068,0,200,72752,,,,
nebraskabusinessdaily.com,200,75423,0,200,75251,,,,
nhbusinessdaily.com,200,72102,0,200,72705,,,,
njbusinessdaily.com,200,81162,0,200,80274,,,,
nmbusinessdaily.com,200,75333,0,200,76146,,,,
nvbusinessdaily.com,200,75378,0,200,75908,,,,
nybusinessdaily.com,200,81061,0,200,80147,,,,
ohbusinessdaily.com,200,79155,0,200,78708,,,,
okbusinessdaily.com,200,75530,0,200,75213,,,,
orbusinessdaily.com,200,77445,0,200,78075,,,,
palmettobusinessdaily.com,200,80180,0,200,80347,,,,
ribusinessdaily.com,200,79295,0,200,78380,,,,
sdbusinessdaily.com,200,73042,0,200,73072,,,,
tnbusinessdaily.com,200,77191,0,200,77265,,,,
txbusinessdaily.com,200,78623,0,200,79263,,,,
utbusinessdaily.com,200,78897,0,200,78740,,,,
vabusinessdaily.com,200,80237,0,200,79408,,,,
vtbusinessdaily.com,200,77428,0,200,77192,,,,
wabusinessdaily.com,200,81115,0,200,79892,,,,
wibusinessdaily.com,200,79536,0,200,79029,,,,
wvbusinessdaily.com,200,76352,0,200,75846,,,,
wybusinessdaily.com,200,74275,0,200,75257,,,,
annearundeltoday.com,200,65509,0,200,66448,,,,
baltimorecitywire.com,200,67718,0,200,68825,,,,
carbondalereporter.com,200,82331,0,200,82311,,,,
chambanasun.com,200,81419,0,200,81717,,,,
chicagocitywire.com,200,79985,0,200,80306,,,,
dekalbtimes.com,200,77884,0,200,77430,,,,
dupagepolicyjournal.com,200,80168,0,200,80507,,,,
eastcentralreporter.com,200,81926,0,200,82207,,,,
galesburgreporter.com,200,79160,0,200,79449,,,,
grundyreporter.com,200,74159,0,200,73915,,,,
harfordnews.com,200,69077,0,200,69776,,,,
howardconews.com,200,67914,0,200,69167,,,,
illinoisvalleytimes.com,200,81348,0,200,81414,,,,
kanecountyreporter.com,200,79277,0,200,79792,,,,
kankakeetimes.com,200,80304,0,200,80908,,,,
kendallcountytimes.com,200,81188,0,200,81178,,,,
lakecountygazette.com,200,79527,0,200,81024,,,,
maconreporter.com,200,75944,0,200,74741,,,,
mchenrytimes.com,200,77906,0,200,76990,,,,
mcleancountytimes.com,200,79546,0,200,81121,,,,
mdstatewire.com,200,69317,0,200,68515,,,,
metroeastsun.com,200,78493,0,200,79811,,,,
montgomerymdnews.com,200,67292,0,200,68803,,,,
northbaltimorejournal.com,200,67238,0,200,67647,,,,
northcooknews.com,200,82436,0,200,83193,,,,
northegyptnews.com,200,80372,0,200,81765,,,,
nwillinoisnews.com,200,80826,0,200,81079,,,,
peoriastandard.com,200,80721,0,200,81815,,,,
prairiestatewire.com,200,76066,0,200,75546,,,,
quincyreporter.com,200,74460,0,200,74319,,,,
rockfordsun.com,200,76129,0,200,75962,,,,
rockislandtoday.com,200,81574,0,200,81711,,,,
sangamonsun.com,200,82468,0,200,82454,,,,
seillinoisnews.com,200,78979,0,200,79770,,,,
silnews.com,200,79867,0,200,80794,,,,
southcentralreporter.com,200,81839,0,200,81084,,,,
southcooknews.com,200,79763,0,200,81069,,,,
swillinoisnews.com,200,80455,0,200,80059,,,,
westcentralreporter.com,200,82969,0,200,82383,,,,
westcooknews.com,200,84538,0,200,83849,,,,
willcountygazette.com,200,83233,0,200,83111,,,,
cookcountyrecord.com,200,110685,0,200,110730,,,,
flarecord.com,200,108457,0,200,108895,,,,
legalnewsline.com,200,106069,0,200,106835,,,,
louisianarecord.com,200,107621,0,200,106391,,,,
madisonrecord.com,200,106805,0,200,105893,,,,
norcalrecord.com,200,105261,0,200,105489,,,,
pennrecord.com,200,107851,0,200,108045,,,,
setexasrecord.com,200,107864,0,200,106417,,,,
socalrecord.com,200,86289,0,200,85590,,,,
stlrecord.com,200,105113,0,200,104824,,,,
wvrecord.com,200,104461,0,200,104259,,,,
total,,,31008,,,,,,
